,Achilles Screening Project ID,Arxspan Cell Line Registration ID,Cell Line Name,GPP Doubling Time (hrs),Cells/T175 or Cells/mL,Cas no-spin attempts,Cas spin attempts,Cas virus batch,Blasticidin Selection (ug/ml),Activity (%GFP negative),DERIV ID,Titration Attempts,Virus Pool Name,Virus Pool Batch,Puromycin Selection (ug/ml),Flasks for infection (T175),Plates for infection,Virus for infection (ml),Infection density (cells/well),Large-scale attempts,Start Date of Pooled Infection,Late Harvest Date,Target Infection Rate,Observed Infection Rate,Observed Cell Representation,Average Observed Cell Yield on Day 5,Cumulative Screen Doublings,File Name
0,ASP1654,ACH-00537,OVISE,50,30000000,0,1,0,4,,,1,Humagne,Humagne set c,2,4,1,2.0282875359825057,3000000,1,2020-11-05 00:00:00,2020-11-19 00:00:00,50,0.45259197894148345,7986624.76306894,69622000,7.272691947814543,OVISE_HUMAGNE_ASP1654.xlsx
1,ASP0750,ACH-001677,U2904,70,600000000,0,1,M-AI97-20210126,6,35,0,0,Humagne,,1.5,,,,0,0,Date,Date,50,,,0,,U2904_HUMAGNE_ASP0750.xlsx
2,ASP0748,ACH-001532,JMURTK2,50,40000000,0,1,M-AI97-20210126,5,25,0,0,Humagne,,1,,,,0,1,Date,Date,50,,,0,,JMURTK2_HUMAGNE_ASP0748.xlsx
3,ASP1769,ACH-000183,L363,41,200000000,0,1,M-AI97-20201208,10,75,,1,Humagne,M-AK92-20200825,1,3,4,1.6435754127309126,1500000,1,2021-03-01 00:00:00,2021-03-15 00:00:00,50,0.5364465561820801,11248049.661858179,64650000,7.7599553829338515,L363_HUMAGNE_ASP1769.xlsx
4,ASP0728,ACH-001509,H357,50,20000000,0,1,,10,60,0,3,Humagne,M-AK42-20200825,1,10,8,10.080000000000002,1500000,1,2021-10-28 00:00:00,2021-11-11 00:00:00,22,0.181149283969477,9097632.736794716,50492400,8.338354063514954,H357_HUMAGNE_ASP0728.xlsx
5,ASP1652,ACH-000147,T47D,60,45000000,0,1,,4,90,,1,Humagne,1,2,3,1,4.872971349887871,3000000,1,2020-11-02 00:00:00,2020-11-16 00:00:00,50,0.6332590266492524,11398662.479686543,70810000,8.770033621437417,T47D_HUMAGNE_ASP1652.xlsx
6,ASP1770,ACH-000502,TCCPAN2,42,30000000,0,1,M-AI97-20201208,2,90,0,1,Humagne,M-AK41-20200825,2,5,4,0.8091782148318093,1500000,1,2021-02-22 00:00:00,2021-03-09 00:00:00,50,0.5090152948054676,15104016.601061001,123720000,9.525544443556743,TCCPAN2_HUMAGNE_ASP1770.xlsx
7,ASP0744,ACH-001369,OCIC5X,60,15000000,0,1,,4,88,0,0,Humagne,,1,,,,0,0,Date,Date,50,,,0,,OCIC5X_HUMAGNE_ASP0744.xlsx
8,ASP1760,ACH-001532,NCIH23,50,23000000,0,1,M-AI97-20210126,8,90,0,1,Humagne,,2,7,6,2.2782244681721595,1500000,1,2021-09-30 00:00:00,2021-10-14 00:00:00,50,0.5804468599033816,31344130.43478261,89600000,4.14867791158603,NCIH23_HUMAGNE_ASP1760.xlsx
9,ASP1922,ACH-000463,NCIH460,42,30000000,,,,2,70,DERIV-000425,1,Paralog 160k CP1600,M-AL30-20210203,1,13,8,37.27816459854459,3000000,1,2021-07-26 00:00:00,2021-08-17 00:00:00,40,0.3988456248641413,40936015.91894188,424105000,17.834392996490944,NCIH460_PARALOGV2_ASP1922.xlsx
